Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Chest_position_x,Chest_position_y,Chest_position_z,Head_position_x,Head_position_y,Head_position_z,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftForeArm_position_x,LeftForeArm_position_y,LeftForeArm_position_z,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightForeArm_position_x,RightForeArm_position_y,RightForeArm_position_z,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,RightHand_position_x,RightHand_position_y,RightHand_position_z
667,0.8108997,0.9495989,0.04605877,0.7690895,1.313885,0.02949676,0.7235264,1.622523,0.04751543,0.7342512,0.9396992,0.02180986,0.7375302,0.5080978,0.04006944,0.8157107,0.1212721,-0.1380956,0.8875481,0.9594986,0.07030768,0.9120141,0.5331974,0.004788496,0.9460282,0.1182934,-0.11432,0.6836976,1.425297,0.06252766,0.5512825,1.404986,0.07559375,0.5582415,1.151428,0.1370858,0.8222141,1.446543,0.04885935,0.9546291,1.466854,0.03579324,1.035025,1.229001,0.1070927,0.5250794,1.089349,0.4173857,1.018458,1.226476,0.3956072
700,0.811885,0.9500035,0.04501154,0.7701234,1.314277,0.02805734,0.7246608,1.622948,0.04576247,0.7351896,0.9400894,0.02091755,0.7383117,0.5085111,0.03974283,0.8155653,0.1213512,-0.1381005,0.8885804,0.9599176,0.06910553,0.9128359,0.5337687,0.002526298,0.9459648,0.1181705,-0.1143914,0.6847832,1.42575,0.06101552,0.55237,1.405493,0.07418175,0.5582132,1.152049,0.1362595,0.823298,1.446941,0.04724246,0.9557112,1.467199,0.03407621,1.036307,1.22941,0.1053649,0.5272468,1.08934,0.4166704,1.019775,1.225443,0.3938651
733,0.8132229,0.950821,0.04265315,0.7714837,1.31505,0.02470944,0.7260815,1.623776,0.04158888,0.7364953,0.9408476,0.01868623,0.7390966,0.5092771,0.03776863,0.8157135,0.1211278,-0.1381831,0.8899505,0.9607944,0.06662007,0.914595,0.5354291,-0.004660994,0.9459729,0.1177931,-0.1145916,0.6861356,1.426627,0.05729192,0.5537025,1.406437,0.0703602,0.5582101,1.153103,0.1329954,0.8246712,1.447748,0.04362132,0.9571044,1.467939,0.03055301,1.03743,1.229983,0.1015917,0.5302324,1.089159,0.4134415,1.021165,1.225711,0.3901028
767,0.8146209,0.9519412,0.03993019,0.7730333,1.316115,0.02057195,0.7277625,1.624924,0.03625311,0.7378868,0.9419068,0.01600957,0.7399045,0.5103009,0.03434788,0.8161531,0.1206125,-0.1383315,0.891355,0.9619756,0.06385081,0.9186721,0.5401767,-0.0253877,0.9460524,0.1174014,-0.1148329,0.6876592,1.427853,0.05252891,0.5551785,1.407783,0.06529798,0.5587062,1.154556,0.1284234,0.8262445,1.448848,0.03917132,0.9587253,1.468918,0.02640224,1.0384,1.23068,0.09722768,0.5333321,1.089248,0.4088029,1.022526,1.226975,0.3857682
800,0.815787,0.9530743,0.03777168,0.7747058,1.317223,0.01692739,0.7298293,1.626152,0.03133705,0.7390661,0.9430473,0.01380583,0.7407178,0.5113736,0.03051303,0.8167235,0.120021,-0.1384701,0.8925079,0.9631014,0.06173753,0.9192643,0.5410463,-0.02645299,0.9460825,0.118014,-0.1148476,0.6893529,1.429199,0.04810227,0.5567839,1.409371,0.06032258,0.5598824,1.156173,0.1235868,0.8280304,1.44994,0.03531874,0.9605994,1.469768,0.02309842,1.039333,1.231273,0.09410985,0.5357342,1.089438,0.4037386,1.023914,1.228148,0.3826821
833,0.8166084,0.9538575,0.03696227,0.776665,1.318069,0.01503344,0.7326651,1.627166,0.02849499,0.7399246,0.9439934,0.0128107,0.7414298,0.5122529,0.02770851,0.8172098,0.1196667,-0.1384918,0.8932921,0.9637217,0.06111384,0.9196658,0.5415732,-0.02674419,0.9461006,0.1184473,-0.1148057,0.6914423,1.430377,0.04535832,0.5587253,1.410993,0.05664781,0.561642,1.157628,0.119253,0.8302746,1.450654,0.03354847,0.9629917,1.470037,0.02225896,1.040543,1.231422,0.09416077,0.5369954,1.089093,0.398926,1.025662,1.228118,0.3827591
867,0.8172726,0.954253,0.03742092,0.7792167,1.318632,0.01492639,0.7366727,1.627956,0.02786147,0.7406521,0.9447387,0.0129304,0.7421409,0.5129434,0.02614361,0.8175343,0.1195895,-0.1384093,0.8938931,0.9637672,0.06191144,0.9199594,0.54167,-0.02628456,0.946086,0.1185956,-0.1146847,0.6942716,1.431386,0.04436239,0.5613499,1.412687,0.0543218,0.5640762,1.158944,0.1153789,0.8333182,1.450946,0.03394391,0.9662399,1.469644,0.02398448,1.042458,1.231112,0.09756932,0.5372249,1.087902,0.3942224,1.028129,1.226774,0.386182
900,0.8180059,0.9545273,0.03864244,0.7824674,1.31914,0.01581478,0.7418824,1.62874,0.0284095,0.7414622,0.9455068,0.01372861,0.743214,0.5136479,0.02462984,0.8177863,0.1194903,-0.1383666,0.8945496,0.9635478,0.06355628,0.9202501,0.5415793,-0.02536006,0.94601,0.118634,-0.1144822,0.6979536,1.432457,0.04431306,0.5648003,1.414661,0.05270793,0.567596,1.160446,0.1117705,0.8372424,1.451073,0.03553122,0.9703957,1.46887,0.02713633,1.045314,1.230654,0.1030424,0.5366277,1.086226,0.3893566,1.031215,1.224898,0.3916417
933,0.8188797,0.954964,0.04039329,0.786202,1.319808,0.01699135,0.7478888,1.629719,0.0290466,0.7423941,0.9464918,0.01511138,0.7449816,0.5145556,0.02207066,0.8180596,0.119116,-0.1384789,0.8953653,0.9634362,0.0656752,0.9205917,0.5416342,-0.02416185,0.9458765,0.1188557,-0.1142069,0.70225,1.433789,0.04448438,0.5688738,1.417033,0.05134163,0.5726795,1.162444,0.1087108,0.8417721,1.451316,0.03731103,0.9751484,1.468072,0.03045377,1.048955,1.23033,0.1088925,0.5353788,1.084695,0.3845466,1.034451,1.223121,0.397439
967,0.8197444,0.9555147,0.04303341,0.7899498,1.320531,0.01849159,0.7540128,1.630763,0.02955388,0.7432537,0.947561,0.01759889,0.7473579,0.5155824,0.01890984,0.8183005,0.1185755,-0.1387026,0.8962351,0.9634684,0.06846792,0.9209797,0.5419017,-0.02259959,0.9457816,0.1193591,-0.113878,0.7066601,1.435238,0.04495972,0.573095,1.419565,0.05059333,0.5792449,1.164897,0.1074098,0.8463796,1.451633,0.03906639,0.9799448,1.467306,0.03343277,1.052735,1.229995,0.1140954,0.5338748,1.08367,0.3810251,1.037347,1.221102,0.402549
1000,0.8204692,0.9558484,0.04709693,0.7934123,1.320983,0.02119405,0.7598469,1.631521,0.03111383,0.7438848,0.9483787,0.02179804,0.7498353,0.5164484,0.01681371,0.8183766,0.1182577,-0.1388635,0.8970536,0.9633181,0.07239581,0.9214208,0.5421192,-0.02045759,0.9458443,0.1199452,-0.1135259,0.7108721,1.436419,0.04682891,0.5771575,1.42181,0.05172653,0.5864961,1.167482,0.109616,0.8507482,1.451702,0.04170549,0.9844629,1.466312,0.03680786,1.055989,1.229225,0.1192409,0.5328403,1.083379,0.380853,1.039697,1.218073,0.4075665
1033,0.8212644,0.9555852,0.05250451,0.7968585,1.320863,0.02599099,0.7656845,1.631664,0.03543596,0.7445185,0.9486458,0.02754632,0.7517203,0.5168239,0.0174496,0.818309,0.1185074,-0.1387522,0.8980104,0.9625245,0.07746269,0.9204347,0.5398903,-0.009148166,0.9460374,0.1203527,-0.1131759,0.7151537,1.43697,0.05126977,0.5813175,1.423407,0.05584309,0.5937179,1.169718,0.1159204,0.8551568,1.451158,0.04648559,0.988993,1.464721,0.04191226,1.058732,1.227688,0.1260139,0.5330251,1.083882,0.3851235,1.041886,1.213728,0.4141852
1067,0.8229105,0.9545743,0.05760417,0.8012096,1.320095,0.03209843,0.7724811,1.631103,0.04244738,0.7460021,0.9482896,0.03297521,0.7525049,0.5164911,0.02149991,0.8183345,0.1194374,-0.1381997,0.899819,0.9608589,0.08223312,0.9178239,0.5350147,0.01183062,0.9461398,0.1212651,-0.1126625,0.7203965,1.436767,0.057639,0.5864523,1.424248,0.06202656,0.6010419,1.171161,0.1241188,0.8605127,1.449863,0.05304913,0.9944569,1.462381,0.04866156,1.061957,1.225422,0.1347755,0.5351017,1.084782,0.3919098,1.0451,1.208333,0.4227777
1100,0.8265163,0.9526377,0.05928895,0.8075637,1.318493,0.03653876,0.7812378,1.629626,0.04925238,0.749513,0.947124,0.03477168,0.7516404,0.5151674,0.02903077,0.8187689,0.1209763,-0.1370905,0.9035195,0.9581513,0.08380621,0.9158093,0.529493,0.0316052,0.9460082,0.1221777,-0.1121703,0.727623,1.43559,0.06286945,0.5935795,1.42408,0.06697592,0.6091259,1.171314,0.1301321,0.8678432,1.44763,0.05857363,1.001887,1.459139,0.05446714,1.066989,1.222458,0.1431523,0.5396251,1.084977,0.3970353,1.050696,1.20213,0.4309763
